Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,1/28/20 23:00,3554.0,125.0,80.0
Guangdong,Mainland China,1/28/20 23:00,207.0,,4.0
Zhejiang,Mainland China,1/28/20 23:00,173.0,,3.0
Henan,Mainland China,1/28/20 23:00,168.0,1.0,
Hunan,Mainland China,1/28/20 23:00,143.0,,
Chongqing,Mainland China,1/28/20 23:00,132.0,,
Jiangxi,Mainland China,1/28/20 23:00,109.0,,3.0
Anhui,Mainland China,1/28/20 23:00,106.0,,
Shandong,Mainland China,1/28/20 23:00,95.0,,
Beijing,Mainland China,1/28/20 23:00,91.0,1.0,4.0
Sichuan,Mainland China,1/28/20 23:00,90.0,,
Fujian,Mainland China,1/28/20 23:00,80.0,,
Jiangsu,Mainland China,1/28/20 23:00,70.0,,1.0
Shanghai,Mainland China,1/28/20 23:00,66.0,1.0,4.0
Guangxi,Mainland China,1/28/20 23:00,51.0,,2.0
Shaanxi,Mainland China,1/28/20 23:00,46.0,,
Yunnan,Mainland China,1/28/20 23:00,44.0,,
Hainan,Mainland China,1/28/20 23:00,40.0,1.0,
Liaoning,Mainland China,1/28/20 23:00,34.0,,
Hebei,Mainland China,1/28/20 23:00,33.0,1.0,
Heilongjiang,Mainland China,1/28/20 23:00,33.0,1.0,
Shanxi,Mainland China,1/28/20 23:00,27.0,,
Tianjin,Mainland China,1/28/20 23:00,24.0,,
Gansu,Mainland China,1/28/20 23:00,19.0,,
Inner Mongolia,Mainland China,1/28/20 23:00,15.0,,
Ningxia,Mainland China,1/28/20 23:00,11.0,,
Xinjiang,Mainland China,1/28/20 23:00,10.0,,
Guizhou,Mainland China,1/28/20 23:00,9.0,,
Jilin,Mainland China,1/28/20 23:00,8.0,,
Taiwan,Taiwan,1/28/20 23:00,8.0,,
Hong Kong,Hong Kong,1/28/20 23:00,8.0,,
Macau,Macau,1/28/20 23:00,7.0,,
Qinghai,Mainland China,1/28/20 23:00,6.0,,
Washington,US,1/28/20 23:00,1.0,,
Illinois,US,1/28/20 23:00,1.0,,
California,US,1/28/20 23:00,2.0,,
Arizona,US,1/28/20 23:00,1.0,,
,Japan,1/28/20 23:00,7.0,,1.0
,Thailand,1/28/20 23:00,14.0,0.0,6.0
,South Korea,1/28/20 23:00,4.0,,
,Singapore,1/28/20 23:00,7.0,,
,Vietnam,1/28/20 23:00,2.0,,
,France,1/28/20 23:00,4.0,,
,Nepal,1/28/20 23:00,1.0,,
Ontario,Canada,1/28/20 23:00,3.0,,
British Columbia,Canada,1/28/20 23:00,1.0,,
,Cambodia,1/28/20 23:00,1.0,,
,Sri Lanka,1/28/20 23:00,1.0,,
New South Wales,Australia,1/28/20 23:00,4.0,,
Victoria,Australia,1/28/20 23:00,1.0,,
Bavaria,Germany,1/28/20 23:00,4.0,,
Unknown,China,1/28/20 23:00,,,
,Kiribati,1/28/20 23:00,0.0,0.0,0.0
,Palau,1/28/20 23:00,0.0,0.0,0.0
Cook Islands,New Zealand,1/28/20 23:00,0.0,0.0,0.0
,Summer Olympics 2020,1/28/20 23:00,0.0,0.0,0.0
Johor,Malaysia,1/28/20 23:00,0.0,0.0,0.0
Kedah,Malaysia,1/28/20 23:00,0.0,0.0,0.0
Kelantan,Malaysia,1/28/20 23:00,0.0,0.0,0.0
Melaka,Malaysia,1/28/20 23:00,0.0,0.0,0.0
Negeri Sembilan,Malaysia,1/28/20 23:00,0.0,0.0,0.0
Pahang,Malaysia,1/28/20 23:00,0.0,0.0,0.0
Perak,Malaysia,1/28/20 23:00,0.0,0.0,0.0
Perlis,Malaysia,1/28/20 23:00,0.0,0.0,0.0
Pulau Pinang,Malaysia,1/28/20 23:00,0.0,0.0,0.0
Sabah,Malaysia,1/28/20 23:00,0.0,0.0,0.0
Sarawak,Malaysia,1/28/20 23:00,0.0,0.0,0.0
Selangor,Malaysia,1/28/20 23:00,0.0,0.0,0.0
Terengganu,Malaysia,1/28/20 23:00,0.0,0.0,0.0
W.P. Kuala Lumpur,Malaysia,1/28/20 23:00,0.0,0.0,0.0
W.P. Labuan,Malaysia,1/28/20 23:00,0.0,0.0,0.0
W.P. Putrajaya,Malaysia,1/28/20 23:00,0.0,0.0,0.0
Unknown,Malaysia,1/28/20 23:00,0.0,0.0,0.0
,Tonga,1/28/20 23:00,0.0,0.0,0.0
,Winter Olympics 2022,1/28/20 23:00,0.0,0.0,0.0
,Antarctica,1/28/20 23:00,0.0,0.0,0.0
Jersey,United Kingdom,1/28/20 23:00,0.0,0.0,0.0
Guernsey,United Kingdom,1/28/20 23:00,0.0,0.0,0.0
,"Korea, North",1/28/20 23:00,0.0,0.0,0.0
Unknown,Ukraine,1/28/20 23:00,0.0,0.0,0.0
England,United Kingdom,1/28/20 23:00,0.0,0.0,0.0
Northern Ireland,United Kingdom,1/28/20 23:00,0.0,0.0,0.0
Scotland,United Kingdom,1/28/20 23:00,0.0,0.0,0.0
Wales,United Kingdom,1/28/20 23:00,0.0,0.0,0.0
Unknown,United Kingdom,1/28/20 23:00,0.0,0.0,0.0
