fecha,local_id,local_nombre,comuna_nombre,localidad_nombre,local_direccion,funcionamiento_hora_apertura,funcionamiento_hora_cierre,local_telefono,local_lat,local_lng,funcionamiento_dia,fk_region,fk_comuna,fk_localidad
30-05-20,1,CRUZ VERDE ,QUILLOTA,QUILLOTA,"OHIGGINS 195, LOCAL 1",08:30:00,18:30:00,+56332269467,-32.8793428949969,-71.2467871500868,sabado,6,69,32
30-05-20,2,CRUZ VERDE,LA CALERA,LA CALERA,J.J. PEREZ 202,08:30:00,18:30:00,+56332724714,-32.788066282624,-71.1897310126255,sabado,6,56,12
30-05-20,3,CRUZ VERDE,LIMACHE,LIMACHE,URMENETA 99,08:30:00,18:30:00,+56332415940,-32.9849921792696,-71.2757177058683,sabado,6,59,17
30-05-20,4,CRUZ VERDE,LIMACHE,LIMACHE,REPUBLICA 281,08:30:00,18:30:00,+56332418343,-33.0025007197382,-71.2654977848501,sabado,6,59,17
30-05-20,5,AHUMADA,LA CALERA,LA CALERA,J J PEREZ 199,09:00:00,21:00:00,+563326316573,-32.7882065329844,-71.189446195146,sabado,6,56,12
30-05-20,8,AHUMADA,LA CALERA,LA CALERA,PROLONGACION JJ. PEREZ 12010,10:00:00,22:00:00,+56026313722,-32.7908926027982,-71.1920957384256,sabado,6,56,12
30-05-20,9,AHUMADA,QUILLOTA,QUILLOTA,AV. 21 DE MAYO 311,08:30:00,17:30:00,+5633314997,-32.8743896181991,-71.2419067293266,sabado,6,69,32
30-05-20,10,AHUMADA,QUILLOTA,QUILLOTA,O`HIGGINS 114-116,08:30:00,18:30:00,+563326313154,-32.8785857529787,-71.2467680389193,sabado,6,69,32
30-05-20,11,SALCOBRAND,LA CALERA,LA CALERA,J.J. PEREZ 205,09:00:00,19:30:00,+56332225450,-32.7880523605412,-71.1894957968335,sabado,6,56,12
30-05-20,13,SALCOBRAND,QUILLOTA,QUILLOTA,CHACABUCO 299,09:00:00,19:30:00,+56332269530,-32.8783291577425,-71.2464943929409,sabado,6,69,32
30-05-20,14,KNOP,QUILLOTA,QUILLOTA,CHACABUCO 225,10:00:00,15:00:00,+56332315136,-32.8781586740176,-71.2459450658586,sabado,6,69,32
30-05-20,15,KNOP,LA CALERA,LA CALERA,J.J. PEREZ 247,10:00:00,15:00:00,+56332229081,-32.7876998783928,-71.1895405374846,sabado,6,56,12
30-05-20,17,CRUZ VERDE,QUILLOTA,QUILLOTA,CHACABUCO 281,09:00:00,21:00:00,+56332319578,-32.878335491624,-71.246141889165,sabado,6,69,32
30-05-20,19,SALCOBRAND,QUILLOTA,QUILLOTA,O´HIGGINS 157,09:30:00,21:00:00,+56332314885,-32.8787432073754,-71.2465369030562,sabado,6,69,32
30-05-20,20,SALCOBRAND,LIMACHE,LIMACHE,URMENETA 68,09:00:00,21:00:00,+560224223300 anexo 5300,-32.9851431062104,-71.2763421550883,sabado,6,59,17
30-05-20,21,DR. SIMI,LA CALERA,LA CALERA,CARRERA 580,09:00:00,18:30:00,+56332342337,-32.7872136780971,-71.1894965921182,sabado,6,56,12
30-05-20,22,HOSPITAL 1,LA CALERA,LA CALERA,CARRERA N° 737,10:30:00,21:30:00,+56332221194,-32.7872809066268,-71.1913238392171,sabado,6,56,12
30-05-20,23,SAN NICOLAS,LA CALERA,LA CALERA,J.J. PEREZ N° 396,10:00:00,22:00:00,+56332229552,-32.7862582411004,-71.189985617592,sabado,6,56,12
30-05-20,24,TAMANACO,LA CALERA,LA CALERA,ALDUNATE 222,09:30:00,21:30:00,+56332222201,-32.7881186052151,-71.1908639639646,sabado,6,56,12
30-05-20,25,LA CRUZ,LA CRUZ,LA CRUZ,21 DE MAYO N° 5481,09:00:00,21:00:00,+56332254902,-32.8252324978247,-71.2268391982971,sabado,6,57,13
30-05-20,26,ECOFARMACIAS,LIMACHE,LIMACHE,URMENETA 84,09:00:00,21:00:00,+56332342303,-32.9852455678978,-71.2761628933035,sabado,6,59,17
30-05-20,27,CRUZ VERDE,LIMACHE,LIMACHE,URMENETA 96,08:30:00,18:30:00,+56332414551,-32.9853313679932,-71.2759083062112,sabado,6,59,17
30-05-20,28,DR. SIMI,LIMACHE,LIMACHE,PRAT 200,09:00:00,21:00:00,+56322419182,-32.9842867294722,-71.2773152151847,sabado,6,59,17
30-05-20,29,ECOFARMACIAS,QUILLOTA,QUILLOTA,"O´HIGGINS 176, LB2",09:00:00,21:00:00,+56332342235,-32.878874763974,-71.2467432732965,sabado,6,69,32
30-05-20,30,SAN IGNACIO,QUILLOTA,QUILLOTA,LA CONCEPCION N° 990,10:30:00,22:00:00,+56332319407,-32.8800607332315,-71.2564983497229,sabado,6,69,32
30-05-20,31,DR. SIMI,QUILLOTA,QUILLOTA,O´HIGGINS 186,09:00:00,21:00:00,+56332258396,-32.8790642414584,-71.2467373690042,sabado,6,69,32
30-05-20,32,ITALIA,QUILLOTA,QUILLOTA,FREIRE N° 57,09:00:00,14:00:00,+56332310178,-32.8777193144105,-71.2453034649053,sabado,6,69,32
30-05-20,36,SALCOBRAND,LA CALERA,LA CALERA,J.J. PEREZ 152,09:00:00,20:00:00,+56332228236,-32.7886912401306,-71.1895755139754,sabado,6,56,12
30-05-20,37,SALCOBRAND,LA CRUZ,LA CRUZ,"21 DE MAYO 5628, LOCAL 1, LA CRUZ",09:00:00,21:00:00,+56332320677,-32.8235326035501,-71.2260811844591,sabado,6,57,13
30-05-20,39,CRUZ VERDE,LIMACHE,LIMACHE,PALMIRA ROMANO 405,08:30:00,18:30:00,+56332414665,-33.0021934734243,-71.2680155185573,sabado,6,59,17
30-05-20,40,EL MELON,NOGALES,EL MELON,ISABEL BROWN N° 123,09:00:00,13:00:00,+5633034 - 2591629,-32.6892394828406,-71.2148068285658,sabado,6,62,435
30-05-20,43,AHUMADA,QUILPUE,QUILPUE,DIEGO PORTALES N° 802,08:30:00,22:00:00,+563219,-33.0469493869154,-71.4416812900202,sabado,6,70,33
30-05-20,44,AHUMADA,QUILPUE,QUILPUE,AV.FREIRE N° 2414  LOCAL 1082,09:00:00,23:00:00,+56650226316549,-33.0452029096277,-71.420263192104,sabado,6,70,33
30-05-20,46,CRUZ VERDE,QUILPUE,QUILPUE,LOS CARRERA N° 721 L- 9,10:00:00,18:30:00,+56322913124,-33.0480884691307,-71.4429118882056,sabado,6,70,33
30-05-20,49,DR. SIMI,QUILPUE,QUILPUE,VICUÑA MACKENNA 777-D,09:00:00,21:00:00,+56322910271,-33.0469722019005,-71.4446583344707,sabado,6,70,33
30-05-20,50,ECOFARMACIAS,QUILPUE,QUILPUE,BLANCO N° 937,09:30:00,21:30:00,+5641127,-33.0461466762891,-71.440770493147,sabado,6,70,33
30-05-20,51,ECOFARMACIAS,QUILPUE,QUILPUE,PORTALES N° 776,09:00:00,22:00:00,+5641405,-33.0475305612827,-71.4423932657459,sabado,6,70,33
30-05-20,52,ECOFARMACIAS,QUILPUE,QUILPUE,CLAUDIO VICUÑA N ° 651,09:00:00,21:30:00,+56392911449,-33.0461424876854,-71.4428260122648,sabado,6,70,33
30-05-20,53,KNOP,QUILPUE,QUILPUE,THOMPSON N° 1491,10:00:00,14:00:00,+56322910016,-33.0540703706198,-71.4385800611601,sabado,6,70,33
30-05-20,54,KNOP,QUILPUE,QUILPUE,CLAUDIO VICUÑA  N° 928,10:00:00,20:00:00,+560322917566,-33.0473658292568,-71.4415964291615,sabado,6,70,33
30-05-20,55,SALCOBRAND,QUILPUE,QUILPUE,CLAUDIO VICUÑA N° 790,09:00:00,19:30:00,+560224223300,-33.0465241401074,-71.4426759575431,sabado,6,70,33
30-05-20,56,CRUZ VERDE,QUILPUE,QUILPUE,"RAMÓN FREIRE N° 2414, LOCAL 1028, BELLOTO",08:30:00,18:00:00,+56332984011,-33.0450095219052,-71.4218638538971,sabado,6,70,33
30-05-20,57,CRUZ VERDE,QUILPUE,QUILPUE,AV. CLAUDIO VICUÑA N° 791,08:30:00,18:30:00,+56322924381,-33.0464004865427,-71.4425440645484,sabado,6,70,33
30-05-20,58,CRUZ VERDE,QUILPUE,QUILPUE,"AV. FREIRE N° 471, VILLA HILTON BELLOTO",08:30:00,18:30:00,+56322943523,-33.0464773594431,-71.4042596331478,sabado,6,70,33
30-05-20,59,AHUMADA,QUILPUE,LOS PINOS,LAS BARRANCAS 2491 L 3C Y  4D,08:30:00,19:00:00,+5632232740640,-33.0661975068523,-71.4228941507292,sabado,6,70,54
30-05-20,61,ECONOMICA,PUCHUNCAVI,PUCHUNCAVI,SANTIAGO TORRES N° 149 PUCHUNCAVI,09:00:00,19:30:00,+56322791499,-32.7264534554681,-71.4141798241623,sabado,6,67,30
30-05-20,63,CRUZ VERDE,QUINTERO,QUINTERO,CABO ORTIZ N° 189,08:30:00,18:30:00,+56322931269,-32.784714476685,-71.5274971892257,sabado,6,71,34
30-05-20,64,CRUZ VERDE,QUINTERO,QUINTERO,AV.NORMANDIE  N° 2017,09:00:00,20:00:00,+56322932008,-32.7864956335481,-71.5272593704619,sabado,6,71,34
30-05-20,65,ECONOMICA,QUINTERO,QUINTERO,PILOTO ALCAYAGA  N° 1919,09:00:00,19:00:00,+56322932576,-32.7856824763479,-71.526446430538,sabado,6,71,34
30-05-20,67,DR. SIMI,QUINTERO,QUINTERO,AV. NORMADIE 2065,09:00:00,19:30:00,+56322934798,-32.7868576166224,-71.5271948887773,sabado,6,71,34
30-05-20,68,AHUMADA,VILLA ALEMANA,VILLA ALEMANA,AV. VALPARAISO N° 702,08:00:00,00:00:00,+560026313159,-33.0441804145477,-71.3740159557867,sabado,6,79,40
30-05-20,70,DR. SIMI,VILLA ALEMANA,VILLA ALEMANA,"LATORRE N° 17, LOCAL 1",09:00:00,19:30:00,+56322157245,-33.0439831572132,-71.3739571291521,sabado,6,79,40
30-05-20,71,ECOFARMACIAS,VILLA ALEMANA,VILLA ALEMANA,AV.VALPARAISO N° 855,09:00:00,22:00:00,+56322541409,-33.0444421989303,-71.3763676925287,sabado,6,79,40
30-05-20,72,ECOFARMACIAS,VILLA ALEMANA,VILLA ALEMANA,LATORRE N° 51,09:00:00,20:30:00,+56322959620,-33.0432588449444,-71.3736379119588,sabado,6,79,40
30-05-20,73,SALCOBRAND,VILLA ALEMANA,VILLA ALEMANA,LATORRE N° 2 Y 6,09:00:00,21:00:00,+5632224223300anexo5040,-33.0442033292095,-71.3737596169375,sabado,6,79,40
30-05-20,75,CRUZ VERDE,VILLA ALEMANA,VILLA ALEMANA,AV. VALPARAÍSO N° 664,08:30:00,18:30:00,+56322957566,-33.0442018537089,-71.3733634400135,sabado,6,79,40
30-05-20,76,SALCOBRAND,VILLA ALEMANA,VILLA ALEMANA,"AV. VALPARAÍSO N° 1982, LOCAL N°7",09:00:00,22:00:00,+56322944340,-33.0452510168172,-71.3906612023864,sabado,6,79,40
30-05-20,77,CRUZ VERDE,VILLA ALEMANA,VILLA ALEMANA,AV. VALPARAÍSO N° 691,08:30:00,18:30:00,+56322533462,-33.044428690768,-71.3742367487894,sabado,6,79,40
30-05-20,79,AHUMADA,VIÑA DEL MAR,PLAN DE VIÑA,AV. VALPARAISO N° 505 C/ETCHEVERS,08:30:00,18:30:00,+56026313141,-33.0244643890036,-71.5553861351216,sabado,6,80,28
30-05-20,81,AHUMADA,VIÑA DEL MAR,PLAN DE VIÑA,AV. LIBERTAD N° 335,08:00:00,19:00:00,+560226313145,-33.0189172526154,-71.5510733225955,sabado,6,80,28
30-05-20,82,AHUMADA,VIÑA DEL MAR,PLAN DE VIÑA,ALVAREZ  N° 1398,09:00:00,18:30:00,+56026313146,-33.0286217850587,-71.5434428351174,sabado,6,80,28
30-05-20,83,AHUMADA,VIÑA DEL MAR,REÑACA,AV.RAFAEL SOTOMAYOR N°230,09:00:00,18:00:00,+56026313153,-32.9707421611196,-71.5426159694221,sabado,6,80,36
30-05-20,84,AHUMADA,VIÑA DEL MAR,PLAN DE VIÑA,AV. VALPARAISO 720,08:30:00,18:30:00,+56020226313226,-33.0250661872842,-71.5524172340872,sabado,6,80,28
30-05-20,85,AHUMADA,VIÑA DEL MAR,PLAN DE VIÑA,1 NORTE N° 2901 L - 4018 (JUMBO),08:30:00,18:00:00,+56026313238,-33.0355737409604,-71.5239136592369,sabado,6,80,28
