"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
Guadeloupe,125,+11,6.0,+2,24.0,95,14.0,312.0,15.0
Montenegro,123,+14,2.0,,,121,4.0,196.0,3.0
Georgia,117,+7,,,23.0,94,6.0,29.0,
Bolivia,115,+8,7.0,+1,1.0,107,3.0,10.0,0.6
Kyrgyzstan,111,+4,,,3.0,108,3.0,17.0,
DRC,109,+11,9.0,+1,3.0,97,,1.0,0.1
Cambodia,109,,,,25.0,84,1.0,7.0,
Mayotte,101,+7,1.0,,10.0,90,3.0,370.0,4.0
Trinidad and Tobago,90,+3,5.0,+2,1.0,84,,64.0,4.0
Rwanda,82,+7,,,,82,,6.0,
Kenya,81,+22,1.0,,3.0,77,2.0,2.0,0.02
Gibraltar,81,+12,,,34.0,47,,2404.0,
Niger,74,+40,5.0,+2,,69,,3.0,0.2
Liechtenstein,72,+4,,,,72,,1888.0,
Paraguay,69,+4,3.0,,1.0,65,4.0,10.0,0.4
Isle of Man,68,+8,1.0,+1,,67,,800.0,12.0
Madagascar,57,,,,,57,6.0,2.0,
Monaco,55,+3,1.0,,2.0,52,2.0,1402.0,25.0
Aruba,55,,,,1.0,54,,515.0,
Bangladesh,54,+3,6.0,+1,25.0,23,1.0,0.3,0.04
French Guiana,51,,,,15.0,36,,171.0,
Barbados,45,+11,,,,45,,157.0,
Jamaica,44,+6,3.0,+1,2.0,39,,15.0,1.0
Uganda,44,,,,,44,,1.0,
Macao,41,,,,10.0,31,,63.0,
Guatemala,39,+1,1.0,,12.0,26,1.0,2.0,0.06
French Polynesia,37,,,,,37,1.0,132.0,
Togo,36,+2,2.0,+1,10.0,24,,4.0,0.2
Zambia,36,,,,,36,,2.0,
El Salvador,33,+1,2.0,+1,,31,4.0,5.0,0.3
Djibouti,33,+3,,,,33,,33.0,
Bermuda,32,,,,10.0,22,,514.0,
Mali,31,+3,3.0,+1,,28,,2.0,0.1
Guinea,30,+8,,,,30,,2.0,
Ethiopia,29,+3,,,2.0,27,2.0,0.3,
Congo,22,+3,2.0,+2,,20,,4.0,0.4
Cayman Islands,22,+8,1.0,,,21,,335.0,15.0
Saint Martin,22,+1,1.0,,2.0,19,,569.0,26.0
Bahamas,21,+7,1.0,+1,1.0,19,,53.0,3.0
Tanzania,20,+1,1.0,,1.0,18,,0.3,0.02
Guyana,19,+7,3.0,+1,,16,,24.0,4.0
Maldives,19,+1,,,13.0,6,,35.0,
Gabon,18,+2,1.0,,,17,,8.0,0.4
Myanmar,16,+1,1.0,,,15,,0.3,0.02
Sint Maarten,16,+10,1.0,+1,6.0,9,,373.0,23.0
Haiti,16,+1,,,1.0,15,,1.0,
New Caledonia,16,,,,1.0,15,,56.0,
Equatorial Guinea,15,,,,1.0,14,,11.0,
Eritrea,15,,,,,15,,4.0,
Mongolia,14,+2,,,2.0,12,,4.0,
Namibia,14,+3,,,2.0,12,,6.0,
Benin,13,+4,,,1.0,12,,1.0,
Saint Lucia,13,,,,1.0,12,,71.0,
Dominica,12,,,,,12,,167.0,
Curaçao,11,,1.0,,3.0,7,,67.0,6.0
Syria,10,,2.0,,,8,,0.6,0.1
Greenland,10,,,,2.0,8,,176.0,
Laos,10,+1,,,,10,,1.0,
Libya,10,,,,,10,,1.0,
Mozambique,10,+2,,,,10,,0.3,
Seychelles,10,,,,,10,,102.0,
Suriname,10,+1,,,,10,,17.0,
MS Zaandam,9,+7,2.0,+2,,7,,,
Grenada,9,,,,,9,,80.0,
Guinea-Bissau,9,+1,,,,9,,5.0,
Eswatini,9,,,,,9,,8.0,
Angola,8,+1,2.0,,1.0,5,,0.2,0.06
Zimbabwe,8,,1.0,,,7,,0.5,0.07
Saint Kitts and Nevis,8,,,,,8,,150.0,
Sudan,7,,2.0,,2.0,3,,0.2,0.05
Antigua and Barbuda,7,,,,,7,,71.0,
Chad,7,,,,,7,,0.4,
Cabo Verde,6,,1.0,,,5,,11.0,2.0
Mauritania,6,,1.0,,2.0,3,,1.0,0.2
Vatican City,6,,,,,6,,7491.0,
Liberia,6,+3,,,,6,,1.0,
St. Barth,6,,,,1.0,5,,607.0,
Turks and Caicos,6,+1,,,,6,,155.0,
Nicaragua,5,,1.0,,,4,,0.8,0.2
Nepal,5,,,,1.0,4,,0.2,
Fiji,5,,,,,5,,6.0,
Montserrat,5,,,,,5,,1002.0,
Somalia,5,,,,1.0,4,,0.3,
Botswana,4,,1.0,,,3,,2.0,0.4
Gambia,4,,1.0,,2.0,1,,2.0,0.4
Bhutan,4,,,,,4,,5.0,
Belize,3,,,,,3,,8.0,
British Virgin Islands,3,,,,,3,,99.0,
CAR,3,,,,,3,,0.6,
Anguilla,2,,,,,2,,133.0,
Burundi,2,,,,,2,,0.2,
Caribbean Netherlands,2,+2,,,,2,,76.0,
St. Vincent Grenadines,2,+1,,,1.0,1,,18.0,
Sierra Leone,2,+1,,,,2,,0.3,
Papua New Guinea,1,,,,,1,,0.1,
Timor-Leste,1,,,,,1,,0.8,
Total:,935197,"+76,836",47192.0,"+4,883",193989.0,694016,35478.0,120.0,6.1
