Entity,Code,Date,Total confirmed deaths per million (deaths per million),Daily confirmed deaths per million (deaths per million)
Afghanistan,AFG,"Mar 24, 2020",0.026,0.026
Afghanistan,AFG,"Mar 25, 2020",0.026,
Afghanistan,AFG,"Mar 26, 2020",0.026,
Afghanistan,AFG,"Mar 27, 2020",0.026,
Afghanistan,AFG,"Mar 28, 2020",0.051,0.026
Afghanistan,AFG,"Mar 29, 2020",0.077,0.026
Afghanistan,AFG,"Mar 30, 2020",0.103,0.026
Afghanistan,AFG,"Mar 31, 2020",0.103,
Afghanistan,AFG,"Apr 1, 2020",0.103,
Afghanistan,AFG,"Apr 2, 2020",0.103,
Afghanistan,AFG,"Apr 3, 2020",0.103,
Afghanistan,AFG,"Apr 4, 2020",0.103,
Afghanistan,AFG,"Apr 5, 2020",0.128,0.026
Afghanistan,AFG,"Apr 6, 2020",0.18,0.051
Afghanistan,AFG,"Apr 7, 2020",0.18,
Afghanistan,AFG,"Apr 8, 2020",0.283,0.103
Afghanistan,AFG,"Apr 9, 2020",0.36,0.077
Afghanistan,AFG,"Apr 10, 2020",0.385,0.026
Afghanistan,AFG,"Apr 11, 2020",0.385,
Afghanistan,AFG,"Apr 12, 2020",0.462,0.077
Afghanistan,AFG,"Apr 13, 2020",0.462,
Afghanistan,AFG,"Apr 14, 2020",0.539,0.077
Afghanistan,AFG,"Apr 15, 2020",0.591,0.051
Afghanistan,AFG,"Apr 16, 2020",0.642,0.051
Afghanistan,AFG,"Apr 17, 2020",0.745,0.103
Afghanistan,AFG,"Apr 18, 2020",0.771,0.026
Afghanistan,AFG,"Apr 19, 2020",0.771,
Afghanistan,AFG,"Apr 20, 2020",0.848,0.077
Afghanistan,AFG,"Apr 21, 2020",0.899,0.051
Afghanistan,AFG,"Apr 22, 2020",0.925,0.026
Afghanistan,AFG,"Apr 23, 2020",1.028,0.103
Afghanistan,AFG,"Apr 24, 2020",1.079,0.051
Afghanistan,AFG,"Apr 25, 2020",1.105,0.026
Afghanistan,AFG,"Apr 26, 2020",1.207,0.103
Afghanistan,AFG,"Apr 27, 2020",1.464,0.257
Afghanistan,AFG,"Apr 28, 2020",1.464,
Afghanistan,AFG,"Apr 29, 2020",1.541,0.077
Afghanistan,AFG,"Apr 30, 2020",1.541,
Afghanistan,AFG,"May 1, 2020",1.644,0.103
Afghanistan,AFG,"May 2, 2020",1.747,0.103
Afghanistan,AFG,"May 3, 2020",1.85,0.103
Afghanistan,AFG,"May 4, 2020",2.183,0.334
Afghanistan,AFG,"May 5, 2020",2.312,0.128
Afghanistan,AFG,"May 6, 2020",2.44,0.128
Afghanistan,AFG,"May 7, 2020",2.672,0.231
Afghanistan,AFG,"May 8, 2020",2.723,0.051
Afghanistan,AFG,"May 9, 2020",2.8,0.077
Africa,,"Mar 9, 2020",0.001,0.001
Africa,,"Mar 10, 2020",0.001,
Africa,,"Mar 11, 2020",0.001,
Africa,,"Mar 12, 2020",0.001,0.001
Africa,,"Mar 13, 2020",0.003,0.001
Africa,,"Mar 14, 2020",0.004,0.001
Africa,,"Mar 15, 2020",0.004,0.001
Africa,,"Mar 16, 2020",0.006,0.001
Africa,,"Mar 17, 2020",0.006,
Africa,,"Mar 18, 2020",0.009,0.003
Africa,,"Mar 19, 2020",0.012,0.003
Africa,,"Mar 20, 2020",0.013,0.001
Africa,,"Mar 21, 2020",0.018,0.005
Africa,,"Mar 22, 2020",0.026,0.008
Africa,,"Mar 23, 2020",0.033,0.007
Africa,,"Mar 24, 2020",0.039,0.006
Africa,,"Mar 25, 2020",0.048,0.009
Africa,,"Mar 26, 2020",0.054,0.006
Africa,,"Mar 27, 2020",0.063,0.009
Africa,,"Mar 28, 2020",0.077,0.014
Africa,,"Mar 29, 2020",0.092,0.016
