,Sintomas,fecha,Cantidad
0,Tos,2020-03-25,103
1,Tos,2020-03-26,129
2,Tos,2020-03-27,147
3,Tos,2020-03-28,173
4,Tos,2020-03-29,180
5,Tos,2020-03-30,200
6,Tos,2020-03-31,234
7,Tos,2020-04-01,273
8,Tos,2020-04-02,284
9,Tos,2020-04-03,318
10,Tos,2020-04-04,362
11,Tos,2020-04-05,390
12,Tos,2020-04-06,418
13,Tos,2020-04-07,451
14,Tos,2020-04-08,489
15,Tos,2020-04-09,548
16,Tos,2020-04-10,619
17,Tos,2020-04-11,674
18,Tos,2020-04-12,684
19,Fiebre,2020-03-25,98
20,Fiebre,2020-03-26,122
21,Fiebre,2020-03-27,141
22,Fiebre,2020-03-28,171
23,Fiebre,2020-03-29,178
24,Fiebre,2020-03-30,195
25,Fiebre,2020-03-31,231
26,Fiebre,2020-04-01,264
27,Fiebre,2020-04-02,274
28,Fiebre,2020-04-03,320
29,Fiebre,2020-04-04,357
30,Fiebre,2020-04-05,381
31,Fiebre,2020-04-06,405
32,Fiebre,2020-04-07,439
33,Fiebre,2020-04-08,463
34,Fiebre,2020-04-09,528
35,Fiebre,2020-04-10,598
36,Fiebre,2020-04-11,648
37,Fiebre,2020-04-12,657
38,Mialgia,2020-03-25,71
39,Mialgia,2020-03-26,88
40,Mialgia,2020-03-27,97
41,Mialgia,2020-03-28,116
42,Mialgia,2020-03-29,118
43,Mialgia,2020-03-30,132
44,Mialgia,2020-03-31,154
45,Mialgia,2020-04-01,174
46,Mialgia,2020-04-02,181
47,Mialgia,2020-04-03,212
48,Mialgia,2020-04-04,243
49,Mialgia,2020-04-05,257
50,Mialgia,2020-04-06,274
51,Mialgia,2020-04-07,295
52,Mialgia,2020-04-08,314
53,Mialgia,2020-04-09,361
54,Mialgia,2020-04-10,422
55,Mialgia,2020-04-11,456
56,Mialgia,2020-04-12,462
57,Cefalea,2020-03-25,48
58,Cefalea,2020-03-26,60
59,Cefalea,2020-03-27,65
60,Cefalea,2020-03-28,83
61,Cefalea,2020-03-29,86
62,Cefalea,2020-03-30,95
63,Cefalea,2020-03-31,115
64,Cefalea,2020-04-01,133
65,Cefalea,2020-04-02,139
66,Cefalea,2020-04-03,166
67,Cefalea,2020-04-04,184
68,Cefalea,2020-04-05,199
69,Cefalea,2020-04-06,209
70,Cefalea,2020-04-07,228
71,Cefalea,2020-04-08,256
72,Cefalea,2020-04-09,297
73,Cefalea,2020-04-10,346
74,Cefalea,2020-04-11,374
75,Cefalea,2020-04-12,380
76,Odinofagia,2020-03-25,48
77,Odinofagia,2020-03-26,54
78,Odinofagia,2020-03-27,63
79,Odinofagia,2020-03-28,75
80,Odinofagia,2020-03-29,80
81,Odinofagia,2020-03-30,87
82,Odinofagia,2020-03-31,100
83,Odinofagia,2020-04-01,112
